archetype,outfit_key,prompt
young woman,casual,"A fitted ribbed cotton tank top in soft cream with a scoop neckline, paired with high-waisted light-wash denim shorts with a relaxed fit and a frayed mid-thigh hem."
young woman,casual,"A slightly oversized charcoal gray knit sweater with long sleeves and a loose crew neckline, worn with slim-fit black denim jeans that rise to the natural waist."
young woman,casual,"A cropped lavender jersey T-shirt with short sleeves and a relaxed round neckline, matched with high-waisted white denim shorts ending at mid-thigh."
young woman,casual,"A fitted forest-green V-neck T-shirt made of soft cotton, paired with dark-wash skinny jeans with a high waist."
young woman,casual,"A light blue button-up chambray shirt with rolled long sleeves and a loose fit, combined with mid-thigh beige twill shorts."
young woman,casual,"A snug black ribbed turtleneck top with long sleeves, worn with high-waisted medium-wash straight-leg jeans."
young woman,casual,"A white cropped cotton hoodie with dropped shoulders and a relaxed fit, paired with charcoal gray high-rise leggings."
young woman,casual,"A dusty-pink knit cardigan worn open over a fitted white camisole with a scoop neckline, combined with high-waisted denim shorts."
young woman,casual,"A fitted maroon long-sleeve top made of soft jersey with a boat neckline, worn with high-waisted dark-gray jeans."
young woman,casual,"A loose pale-yellow T-shirt with cuffed short sleeves and a relaxed crew neck, paired with black mid-thigh cotton shorts."
young woman,casual,"A soft sage-green cropped sweatshirt with long sleeves and a relaxed cut, worn with high-waisted black leggings."
young woman,casual,"A fitted navy ribbed tank top with a scoop neckline, matched with light-wash denim jeans in a slim-straight fit."
young woman,casual,"A white linen-blend short-sleeve blouse with a square neckline and gentle gathering at the chest, paired with tan high-waisted shorts."
young woman,casual,"A soft peach-colored jersey tee with a loose fit and V-neckline, combined with dark-wash denim shorts that hit mid-thigh."
young woman,casual,"A charcoal cropped knit top with short sleeves and a high crew neck, worn with high-waisted olive cargo pants."
young woman,casual,"A fitted rust-orange henley top with long sleeves and three buttons at the neckline, paired with black skinny jeans."
young woman,casual,"A loose white cotton boyfriend shirt with rolled sleeves and a slightly oversized fit, matched with medium-wash denim shorts."
young woman,casual,"A ribbed pastel-mint tank with a scoop neckline and cropped hem, combined with high-rise charcoal leggings."
